"","project_id","bug_id","target_class","execution_id","objective","objective_type","called","activated","useful","ff_eval"
"900001","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I42 Branch 31 IF_ICMPLT L856 - false","Branch",124,0,0,"5332"
"900002","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I42 Branch 31 IF_ICMPLT L856 - true","Branch",154,0,0,"761"
"900003","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V: Line 633","Line",25,0,0,"36"
"900004","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V: Line 634","Line",63,0,0,"125"
"900005","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: Line 553","Line",3606,0,0,"1802"
"900006","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: Line 552","Line",3606,0,0,"1802"
"900007","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I54 Branch 32 IFEQ L858 - false","Branch",924,0,0,"5204"
"900008","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.print(Lorg/joda/time/ReadableInstant;)Ljava/lang/String;: root-Branch","Branch",192,0,0,"826"
"900009","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.getDefaultYear()I: Line 450","Line",25,0,0,"73"
"900010","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.isPrinter()Z: I4 Branch 1 IFNULL L147 - false","Branch",25,0,0,"66"
"900011","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I101 Branch 41 IFNULL L911 - true","Branch",3,0,0,"5586"
"900012","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.isParser()Z: I4 Branch 2 IFNULL L165 - false","Branch",487,0,0,"1086"
"900013","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.isPrinter()Z: I4 Branch 1 IFNULL L147 - true","Branch",195,0,0,"472"
"900014","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 601","Line",63,0,0,"125"
"900015","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 600","Line",25,0,0,"36"
"900016","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 599","Line",25,0,0,"36"
"900017","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.isParser()Z: I4 Branch 2 IFNULL L165 - true","Branch",4271,0,0,"7471"
"900018","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I101 Branch 35 IFNULL L866 - false","Branch",69,0,0,"543"
"900019","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I98 Branch 21 IFNULL L716 - true","Branch",175,0,0,"2672"
"900020","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.requireParser()Lorg/joda/time/format/DateTimeParser;: I8 Branch 42 IFNONNULL L929 - false","Branch",9,0,0,"265"
