"","tool","project","target_class","isAssertion","coverage_rate"
"1","BBC-F0-10","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"2","BBC-F0-10","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"3","BBC-F0-10","Chart-4","org.jfree.chart.plot.XYPlot",0,18
"4","BBC-F0-10","Chart-5","org.jfree.data.xy.XYSeries",0,0
"5","BBC-F0-10","Chart-9","org.jfree.data.time.TimeSeries",0,0
"6","BBC-F0-10","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"7","BBC-F0-10","Cli-31","org.apache.commons.cli.Option",0,0
"8","BBC-F0-10","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"9","BBC-F0-10","Cli-32","org.apache.commons.cli.HelpFormatter",0,27
"10","BBC-F0-10","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"11","BBC-F0-10","Cli-35","org.apache.commons.cli.Options",0,0
"12","BBC-F0-10","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"13","BBC-F0-10","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"14","BBC-F0-10","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"15","BBC-F0-10","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"16","BBC-F0-10","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,22
"17","BBC-F0-10","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"18","BBC-F0-10","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"19","BBC-F0-10","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"20","BBC-F0-10","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"21","BBC-F0-10","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"22","BBC-F0-10","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"23","BBC-F0-10","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"24","BBC-F0-10","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
"25","BBC-F0-10","Csv-11","org.apache.commons.csv.CSVParser",0,30
"26","BBC-F0-10","Csv-12","org.apache.commons.csv.CSVFormat",0,0
"27","BBC-F0-10","Csv-8","org.apache.commons.csv.CSVFormat",0,0
"28","BBC-F0-10","Csv-9","org.apache.commons.csv.CSVRecord",0,26
"29","BBC-F0-10","Gson-10","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0,0
"30","BBC-F0-10","Gson-11","com.google.gson.internal.bind.TypeAdapters",0,0
"31","BBC-F0-10","Gson-12","com.google.gson.internal.bind.JsonTreeReader",0,30
"32","BBC-F0-10","Gson-13","com.google.gson.stream.JsonReader",0,0
"33","BBC-F0-10","Gson-14","com.google.gson.internal.$Gson$Types",0,0
"34","BBC-F0-10","Gson-15","com.google.gson.stream.JsonWriter",0,0
"35","BBC-F0-10","Gson-16","com.google.gson.internal.$Gson$Types",0,0
"36","BBC-F0-10","Gson-17","com.google.gson.DefaultDateTypeAdapter",0,29
"37","BBC-F0-10","Gson-18","com.google.gson.internal.$Gson$Types",0,0
"38","BBC-F0-10","Gson-9","com.google.gson.internal.bind.JsonTreeWriter",0,0
"39","BBC-F0-10","Gson-9","com.google.gson.internal.bind.TypeAdapters",0,28
"40","BBC-F0-10","Gson-9","com.google.gson.stream.JsonWriter",0,30
"41","BBC-F0-10","JacksonCore-17","com.fasterxml.jackson.core.json.UTF8JsonGenerator",0,0
"42","BBC-F0-10","JacksonCore-19","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"43","BBC-F0-10","JacksonCore-19","com.fasterxml.jackson.core.json.UTF8StreamJsonParser",0,0
"44","BBC-F0-10","JacksonCore-20","com.fasterxml.jackson.core.JsonGenerator",0,30
"45","BBC-F0-10","JacksonCore-21","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"46","BBC-F0-10","JacksonCore-22","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"47","BBC-F0-10","JacksonCore-24","com.fasterxml.jackson.core.base.ParserBase",0,0
"48","BBC-F0-10","JacksonCore-24","com.fasterxml.jackson.core.base.ParserMinimalBase",0,0
"49","BBC-F0-10","JacksonCore-25","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"50","BBC-F0-10","JacksonDatabind-104","com.fasterxml.jackson.databind.util.StdDateFormat",0,0
"51","BBC-F0-10","JacksonDatabind-105","com.fasterxml.jackson.databind.deser.std.JdkDeserializers",0,0
"52","BBC-F0-10","JacksonDatabind-107","com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase",0,0
"53","BBC-F0-10","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializer",0,0
"54","BBC-F0-10","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializers",0,0
"55","BBC-F0-10","JacksonDatabind-110","com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers",0,0
"56","BBC-F0-10","JacksonDatabind-112","com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer",0,0
"57","BBC-F0-10","JacksonXml-3","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser",0,0
"58","BBC-F0-10","JacksonXml-4","com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider",0,0
"59","BBC-F0-10","JacksonXml-6","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator",0,0
"60","BBC-F0-10","Jsoup-84","org.jsoup.helper.W3CDom",0,16
"61","BBC-F0-10","Jsoup-86","org.jsoup.nodes.Comment",0,0
"62","BBC-F0-10","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"63","BBC-F0-10","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"64","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"65","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"66","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"67","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
"68","BBC-F0-10","JxPath-22","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
