Nr.   Classes Functions      NCSS  Javadocs Package
  1        22       472      3991       494 org.jfree.chart
  2        18       226      1880       244 org.jfree.chart.annotations
  3        14        91      1121       109 org.jfree.chart.annotations.junit
  4        44       756      7244       850 org.jfree.chart.axis
  5        35       280      3804       314 org.jfree.chart.axis.junit
  6        21       215      1666       234 org.jfree.chart.block
  7        13        80      1313        92 org.jfree.chart.block.junit
  8         3        14       209        17 org.jfree.chart.demo
  9         9        71       847        80 org.jfree.chart.editor
 10         6        33       151        39 org.jfree.chart.encoders
 11        15       130       672       145 org.jfree.chart.entity
 12         8        38       471        46 org.jfree.chart.entity.junit
 13        17        40       170        57 org.jfree.chart.event
 14         7        18       121        25 org.jfree.chart.imagemap
 15         6        19       100        25 org.jfree.chart.imagemap.junit
 16        29       206      2404       271 org.jfree.chart.junit
 17        35       206      1447       241 org.jfree.chart.labels
 18        21       143      1455       164 org.jfree.chart.labels.junit
 19        10        64       523        74 org.jfree.chart.needle
 20        11        51       470        62 org.jfree.chart.needle.junit
 21         7        58       633        60 org.jfree.chart.panel
 22        45      1412     11435      1457 org.jfree.chart.plot
 23        16       276      1857       318 org.jfree.chart.plot.dial
 24        13        79      1147        92 org.jfree.chart.plot.dial.junit
 25        28       242      4350       270 org.jfree.chart.plot.junit
 26        14       255      1633       274 org.jfree.chart.renderer
 27        27       566      5618       595 org.jfree.chart.renderer.category
 28        25       227      2558       253 org.jfree.chart.renderer.category.junit
 29         9        57      1030        68 org.jfree.chart.renderer.junit
 30        35       702      6837       785 org.jfree.chart.renderer.xy
 31        30       243      3052       273 org.jfree.chart.renderer.xy.junit
 32         1         1         6         2 org.jfree.chart.resources
 33         3        22       186        25 org.jfree.chart.servlet
 34         9       100       857       109 org.jfree.chart.text
 35        10       199      1612       209 org.jfree.chart.title
 36        10        59       732        69 org.jfree.chart.title.junit
 37        12        76       557        93 org.jfree.chart.ui
 38        12        54       440        66 org.jfree.chart.urls
 39         8        45       496        53 org.jfree.chart.urls.junit
 40        42       336      2703       376 org.jfree.chart.util
 41        13        91      1208       101 org.jfree.chart.util.junit
 42        24       208      1401       232 org.jfree.data
 43         7        93       539       100 org.jfree.data.category
 44         5        60       691        65 org.jfree.data.category.junit
 45         5        25       123        30 org.jfree.data.function
 46         5        29       214        34 org.jfree.data.function.junit
 47         6       135       630       135 org.jfree.data.gantt
 48         6        54       707        60 org.jfree.data.gantt.junit
 49        30       205      1577       235 org.jfree.data.general
 50         8        92      1077       100 org.jfree.data.general.junit
 51         1         6        66         7 org.jfree.data.io
 52         3        31       352        34 org.jfree.data.jdbc
 53        14       133      1712       149 org.jfree.data.junit
 54         6         6        36        12 org.jfree.data.resources
 55        18       276      1848       294 org.jfree.data.statistics
 56        14       115      1395       129 org.jfree.data.statistics.junit
 57        29       571      3631       605 org.jfree.data.time
 58        22       343      3323       370 org.jfree.data.time.junit
 59         4        47       225        51 org.jfree.data.time.ohlc
 60         5        37       401        42 org.jfree.data.time.ohlc.junit
 61         9        44       285        53 org.jfree.data.xml
 62        53       599      2930       652 org.jfree.data.xy
 63        35       324      3742       359 org.jfree.data.xy.junit
 64         1         4       100         5 org.jfree.experimental.chart.renderer.xy
 65         1        65       763        66 org.jfree.experimental.chart.swt
 66         4        13       338        17 org.jfree.experimental.chart.swt.demo
 67         8        40       750        45 org.jfree.experimental.chart.swt.editor
 68         3       101       628       104 org.jfree.experimental.swt
    --------- --------- --------- ---------
         1039     11909    108490     13116 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    68.00   1039.00  11909.00 108490.00  13116.00 | Project
              15.28    175.13   1595.44    192.88 | Package
                        11.46    104.42     12.62 | Class
                                   9.11      1.10 | Function

 Nr. NCSS Functions Classes Javadocs Class
   1   87         4       0        5 org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer
   2  662        40       0       41 org.jfree.chart.ChartFactory
   3   79         5       0        6 org.jfree.chart.demo.TimeSeriesChartDemo1
   4   27         5       0        6 org.jfree.chart.demo.PieChartDemo1
   5   58         4       0        5 org.jfree.chart.demo.BarChartDemo1
   6   12         3       0        4 org.jfree.chart.ui.Licences
   7   17         4       0        5 org.jfree.chart.ui.FontDisplayField
   8   26         5       0        6 org.jfree.chart.ui.PaintSample
   9   38        12       0       13 org.jfree.chart.ui.Library
  10   10         3       0        4 org.jfree.chart.ui.Contributor
  11   73         6       0        7 org.jfree.chart.ui.FontChooserPanel
