Nr.   Classes Functions      NCSS  Javadocs Package
  1        18        56       252        36 org.apache.commons.codec
  2        27       403      4458       260 org.apache.commons.codec.binary
  3         1        10        69         2 org.apache.commons.codec.cli
  4        25       316      1805       184 org.apache.commons.codec.digest
  5        24       359      2579       196 org.apache.commons.codec.language
  6        15        96      1214        61 org.apache.commons.codec.language.bm
  7        12       142      1102        82 org.apache.commons.codec.net
    --------- --------- --------- ---------
          122      1382     11479       821 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     7.00    122.00   1382.00  11479.00    821.00 | Project
              17.43    197.43   1639.86    117.29 | Package
                        11.33     94.09      6.73 | Class
                                   8.31      0.59 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   48         9       0        1 org.apache.commons.codec.StringEncoderAbstractTest
  2   19         4       0        1 org.apache.commons.codec.DecoderExceptionTest
  3    9         3       0        1 org.apache.commons.codec.BinaryEncoderAbstractTest
  4   17         3       0        1 org.apache.commons.codec.StringEncoderComparatorTest
  5   65        10       0        1 org.apache.commons.codec.net.BCodecTest
  6    3         1       0        2 org.apache.commons.codec.net.UtilsTest
  7   92        13       0        1 org.apache.commons.codec.net.QCodecTest
  8   30         3       1        1 org.apache.commons.codec.net.RFC1522CodecTest
  9  147        18       0        1 org.apache.commons.codec.net.URLCodecTest
 10  161        22       0        1 org.apache.commons.codec.net.QuotedPrintableCodecTest
 11   65        15       0        1 org.apache.commons.codec.digest.MessageDigestAlgorithmsTest
 12  156        24       0        5 org.apache.commons.codec.digest.DigestUtilsTest
 13   27         7       0        0 org.apache.commons.codec.digest.Sha256CryptTest
 14   96        23       0        1 org.apache.commons.codec.digest.HmacUtilsTest
 15   24         5       0        1 org.apache.commons.codec.digest.PureJavaCrc32CTest
 16   30         9       0        0 org.apache.commons.codec.digest.Sha512CryptTest
 17    9         2       0        0 org.apache.commons.codec.digest.B64Test
 18    3         1       0        0 org.apache.commons.codec.digest.Sha2CryptTest
 19   12         4       0        1 org.apache.commons.codec.digest.CryptTest
 20   29         9       0        3 org.apache.commons.codec.digest.UnixCryptTest
 21   33         8       0        0 org.apache.commons.codec.digest.Apr1CryptTest
 22   23         7       0        0 org.apache.commons.codec.digest.Md5CryptTest
 23   72        20       0        1 org.apache.commons.codec.digest.HmacAlgorithmsTest
 24  199         3       2        4 org.apache.commons.codec.digest.PureJavaCrc32Test
 25   18         6       0        5 org.apache.commons.codec.language.Caverphone1Test
 26   38         7       0        1 org.apache.commons.codec.language.RefinedSoundexTest
 27  109        34       0       16 org.apache.commons.codec.language.MetaphoneTest
 28   35         4       1        0 org.apache.commons.codec.language.bm.CacheSubSequencePerformanceTest
 29   80         4       1        1 org.apache.commons.codec.language.bm.RuleTest
 30   10         1       0        1 org.apache.commons.codec.language.bm.PhoneticEnginePerformanceTest
 31   12         3       0        1 org.apache.commons.codec.language.bm.LanguageGuessingTest
 32   29         3       0        1 org.apache.commons.codec.language.bm.PhoneticEngineTest
 33  138         5       0        2 org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest
 34   94        21       0        4 org.apache.commons.codec.language.bm.BeiderMorseEncoderTest
 35  136        26       0       16 org.apache.commons.codec.language.SoundexTest
 36  140        18       0        6 org.apache.commons.codec.language.DoubleMetaphoneTest
 37   28        10       0        2 org.apache.commons.codec.language.ColognePhoneticTest
 38   28        10       0        7 org.apache.commons.codec.language.Caverphone2Test
 39  187        93       0        1 org.apache.commons.codec.language.MatchRatingApproachEncoderTest
 40   14         4       0        3 org.apache.commons.codec.language.DoubleMetaphone2Test
 41   57        22       0       11 org.apache.commons.codec.language.NysiisTest
 42   68        13       0        5 org.apache.commons.codec.language.DaitchMokotoffSoundexTest
 43   15         7       0        2 org.apache.commons.codec.CharEncodingTest
 44  367        12       0        9 org.apache.commons.codec.binary.Base64Codec13Test
 45   52         6       0        3 org.apache.commons.codec.binary.Base64TestData
 46  111         9       0        8 org.apache.commons.codec.binary.Base32OutputStreamTest
 47  991        16       0        5 org.apache.commons.codec.binary.BinaryCodecTest
 48  771        62       0       22 org.apache.commons.codec.binary.Base64Test
 49  142        10       0       10 org.apache.commons.codec.binary.Base64OutputStreamTest
 50  126        23       0        2 org.apache.commons.codec.binary.StringUtilsTest
 51   47         8       2        0 org.apache.commons.codec.binary.BaseNCodecTest
 52   67        13       0        0 org.apache.commons.codec.binary.Base32Test
 53  192        19       0       18 org.apache.commons.codec.binary.Base32InputStreamTest
 54   12         2       0        1 org.apache.commons.codec.binary.Codec105ErrorInputStream
 55  232        22       0       22 org.apache.commons.codec.binary.Base64InputStreamTest
 56   48         6       0        3 org.apache.commons.codec.binary.Base32TestData
 57  224        50       0        2 org.apache.commons.codec.binary.HexTest
 58   18         7       0        1 org.apache.commons.codec.CharsetsTest
 59   19         4       0        1 org.apache.commons.codec.EncoderExceptionTest
 60    2         1       0        1 org.apache.commons.codec.BinaryDecoder
 61   10         4       0        5 org.apache.commons.codec.DecoderException
 62    6         1       0        2 org.apache.commons.codec.net.Utils
 63   49         6       0        7 org.apache.commons.codec.net.RFC1522Codec
 64  156        24       0       25 org.apache.commons.codec.net.QuotedPrintableCodec
 65  123        16       0       14 org.apache.commons.codec.net.QCodec
 66  113        14       0       15 org.apache.commons.codec.net.URLCodec
 67   58        14       0       12 org.apache.commons.codec.net.BCodec
 68   11         2       0        3 org.apache.commons.codec.Charsets
 69    2         1       0        2 org.apache.commons.codec.Decoder
 70   82         7       0        8 org.apache.commons.codec.digest.Md5Crypt
 71   21         4       0        5 org.apache.commons.codec.digest.Crypt
 72   13         2       0        3 org.apache.commons.codec.digest.B64
 73   37         6       0        2 org.apache.commons.codec.digest.PureJavaCrc32
 74  152        58       0       58 org.apache.commons.codec.digest.HmacUtils
 75  161        12       0        5 org.apache.commons.codec.digest.UnixCrypt
 76   15         2       0        2 org.apache.commons.codec.digest.MessageDigestAlgorithms
 77  169        75       0       76 org.apache.commons.codec.digest.DigestUtils
 78   53         5       0        2 org.apache.commons.codec.digest.PureJavaCrc32C
 79    7         3       0        0 org.apache.commons.codec.digest.HmacAlgorithms
 80  144         5       0        6 org.apache.commons.codec.digest.Sha2Crypt
 81   10         4       0        5 org.apache.commons.codec.EncoderException
 82    2         1       0        2 org.apache.commons.codec.StringDecoder
 83  152         6       3        4 org.apache.commons.codec.language.ColognePhonetic
 84   43         8       0        9 org.apache.commons.codec.language.RefinedSoundex
 85    9         3       0        4 org.apache.commons.codec.language.AbstractCaverphone
 86  214        12       0        8 org.apache.commons.codec.language.Metaphone
 87  564        38       1       38 org.apache.commons.codec.language.DoubleMetaphone
 88   66         1       0        2 org.apache.commons.codec.language.Caverphone2
 89   70         5       1        5 org.apache.commons.codec.language.bm.Lang
 90    5         0       0        1 org.apache.commons.codec.language.bm.ResourceConstants
 91    5         2       0        0 org.apache.commons.codec.language.bm.NameType
 92   24         9       0        8 org.apache.commons.codec.language.bm.BeiderMorseEncoder
 93  191        11       2       20 org.apache.commons.codec.language.bm.PhoneticEngine
 94  116         5       4        3 org.apache.commons.codec.language.bm.Languages
 95  299        21      14       14 org.apache.commons.codec.language.bm.Rule
 96    5         2       0        0 org.apache.commons.codec.language.bm.RuleType
 97  137        11       0       12 org.apache.commons.codec.language.MatchRatingApproachEncoder
 98   52        11       0       12 org.apache.commons.codec.language.Soundex
 99  212         9       3       13 org.apache.commons.codec.language.DaitchMokotoffSoundex
100   97         8       0        9 org.apache.commons.codec.language.Nysiis
101   14         5       0        6 org.apache.commons.codec.language.Caverphone
102   63         1       0        2 org.apache.commons.codec.language.Caverphone1
103   24         3       0        4 org.apache.commons.codec.language.SoundexUtils
104   59        10       0        2 org.apache.commons.codec.cli.Digest
105    7         0       0        1 org.apache.commons.codec.CharEncoding
106    2         1       0        1 org.apache.commons.codec.BinaryEncoder
107   14         3       0        4 org.apache.commons.codec.StringEncoderComparator
108    7         3       0        4 org.apache.commons.codec.binary.Base64OutputStream
109  191        11       0       12 org.apache.commons.codec.binary.Base32
110   59        20       0       20 org.apache.commons.codec.binary.StringUtils
111  188        26       0       27 org.apache.commons.codec.binary.Base64
112  135        24       1       25 org.apache.commons.codec.binary.BaseNCodec
113    7         3       0        4 org.apache.commons.codec.binary.Base32InputStream
114   95        25       0       26 org.apache.commons.codec.binary.Hex
115   48         7       0        7 org.apache.commons.codec.binary.BaseNCodecOutputStream
