Nr.   Classes Functions      NCSS  Javadocs Package
  1        76       985      7433       708 org.apache.commons.collections4
  2        28       281      1600       154 org.apache.commons.collections4.bag
  3        23       321      2801       196 org.apache.commons.collections4.bidimap
  4        17       259      1643       148 org.apache.commons.collections4.collection
  5        15       123       811        99 org.apache.commons.collections4.comparators
  6        63       295      1567       323 org.apache.commons.collections4.functors
  7        84       732      4981       478 org.apache.commons.collections4.iterators
  8        14        98       578        79 org.apache.commons.collections4.keyvalue
  9        24       422      4467       251 org.apache.commons.collections4.list
 10        69      1047      8976       719 org.apache.commons.collections4.map
 11        11       192      1801        87 org.apache.commons.collections4.multimap
 12        10       133       802        69 org.apache.commons.collections4.queue
 13        10        37       302        44 org.apache.commons.collections4.sequence
 14        34       359      1919       163 org.apache.commons.collections4.set
 15         3        32       173        15 org.apache.commons.collections4.splitmap
 16         8       124      1546       110 org.apache.commons.collections4.trie
 17         1         6        54         2 org.apache.commons.collections4.trie.analyzer
    --------- --------- --------- ---------
          490      5446     41454      3645 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    17.00    490.00   5446.00  41454.00   3645.00 | Project
              28.82    320.35   2438.47    214.41 | Package
                        11.11     84.60      7.44 | Class
                                   7.61      0.67 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   42         7       0        1 org.apache.commons.collections4.ArrayStackTest
  2   65         8       0        1 org.apache.commons.collections4.BagUtilsTest
  3  103         8       1        2 org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest
  4   11         5       0        3 org.apache.commons.collections4.bidimap.DualLinkedHashBidiMapTest
  5   19         9       0        2 org.apache.commons.collections4.bidimap.TreeBidiMapTest
  6   34        13       0        2 org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMapTest
  7   36        14       0        1 org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest
  8   15         4       0        3 org.apache.commons.collections4.bidimap.DualTreeBidiMapTest
  9  302        29       3        7 org.apache.commons.collections4.bidimap.AbstractBidiMapTest
 10   30        11       0        2 org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest
 11   24         6       1        3 org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest
 12   74        11       1        2 org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test
 13    9         4       0        3 org.apache.commons.collections4.bidimap.DualHashBidiMapTest
 14  463        21       0        3 org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest
 15   18         3       0        2 org.apache.commons.collections4.TestUtils
 16   50         5       1        1 org.apache.commons.collections4.SetUtilsTest
 17  204        26       3        6 org.apache.commons.collections4.collection.CompositeCollectionTest
 18   33        11       0        1 org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest
 19   47        10       1        1 org.apache.commons.collections4.collection.TransformedCollectionTest
 20   13         5       0        1 org.apache.commons.collections4.collection.SynchronizedCollectionTest
 21   71        16       1        1 org.apache.commons.collections4.collection.IndexedCollectionTest
 22   48        11       1        1 org.apache.commons.collections4.collection.PredicatedCollectionTest
 23  546        48       0       46 org.apache.commons.collections4.collection.AbstractCollectionTest
 24   58         7       1        4 org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest
 25   30        10       0        1 org.apache.commons.collections4.collection.UnmodifiableCollectionTest
 26   18         5       0        1 org.apache.commons.collections4.MockTestCase
 27  237        12       2        2 org.apache.commons.collections4.ClosureUtilsTest
