Nr.   Classes Functions      NCSS  Javadocs Package
  1        52       380      2481       227 com.google.gson
  2         0         0        47         0 com.google.gson.annotations
  3         3        33       292        21 com.google.gson.codegen
  4         2         4        17         0 com.google.gson.codegen.functional
  5         2         4       280         3 com.google.gson.common
  6         1         2        30         1 com.google.gson.examples.android
  7         2        12        79         2 com.google.gson.examples.android.model
  8         1         1        29         0 com.google.gson.extras.examples.rawcollections
  9        53       699      6120        95 com.google.gson.functional
 10         2        12       252         4 com.google.gson.graph
 11         3        11       137         4 com.google.gson.interceptors
 12        17       157      1907        74 com.google.gson.internal
 13        17       118      1942        21 com.google.gson.internal.bind
 14         1         8       169         9 com.google.gson.internal.bind.util
 15         6        39       684        16 com.google.gson.metrics
 16         1         9       172        10 com.google.gson.protobuf
 17         3        15       125         2 com.google.gson.protobuf.functional
 18         2        26       178        18 com.google.gson.reflect
 19         1         2        27         0 com.google.gson.regression
 20         8       251      3004        67 com.google.gson.stream
 21         6        33       421        11 com.google.gson.typeadapters
    --------- --------- --------- ---------
          183      1816     18393       585 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    21.00    183.00   1816.00  18393.00    585.00 | Project
               8.71     86.48    875.86     27.86 | Package
                         9.92    100.51      3.20 | Class
                                  10.13      0.32 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   63         5       0        4 com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark
  2   12         3       0        1 com.google.gson.metrics.SerializationBenchmark
  3   55         7       0        1 com.google.gson.metrics.BagOfPrimitives
  4   75         5       1        4 com.google.gson.metrics.CollectionsDeserializationBenchmark
  5  231         4      16        1 com.google.gson.metrics.ParseBenchmark
  6   16         3       1        1 com.google.gson.VersionExclusionStrategyTest
  7  185        15       9        5 com.google.gson.metrics.PerformanceTest
  8   32         5       0        1 com.google.gson.JsonStreamParserTest
  9   11         1       1        1 com.google.gson.GsonTest
 10   23         4       0        1 com.google.gson.LongSerializationPolicyTest
 11  148        24       0        1 com.google.gson.JsonPrimitiveTest
 12   28         4       3        1 com.google.gson.JavaSerializationTest
 13  109        14       0        4 com.google.gson.JsonObjectTest
 14  175        11       1        0 com.google.gson.stream.JsonReaderPathTest
 15 1177       129       0        6 com.google.gson.stream.JsonReaderTest
 16  404        37       0        0 com.google.gson.stream.JsonWriterTest
 17   31         1       0        1 com.google.gson.PrimitiveTypeAdapter
 18   48         6       6        1 com.google.gson.reflect.TypeTokenTest
 19   21         3       3        4 com.google.gson.internal.UnsafeAllocatorInstantiationTest
 20  178        23       0        0 com.google.gson.internal.LinkedHashTreeMapTest
 21   27         3       4        1 com.google.gson.internal.GsonTypesTest
