Nr.   Classes Functions      NCSS  Javadocs Package
  1        33       602      2949       443 com.fasterxml.jackson.core
  2         4         8        33         7 com.fasterxml.jackson.core.async
  3         3       158      1004        32 com.fasterxml.jackson.core.base
  4         3        32       461         1 com.fasterxml.jackson.core.base64
  5         9       203      1636        37 com.fasterxml.jackson.core.filter
  6         6        27       236        24 com.fasterxml.jackson.core.format
  7        21       183      1872        50 com.fasterxml.jackson.core.io
  8        38       657     10521       116 com.fasterxml.jackson.core.json
  9        26       277      4690        21 com.fasterxml.jackson.core.json.async
 10        13        81      1264        22 com.fasterxml.jackson.core.main
 11        17       211      2840        15 com.fasterxml.jackson.core.read
 12        13       142      1486        47 com.fasterxml.jackson.core.sym
 13         6        53       184         2 com.fasterxml.jackson.core.testsupport
 14         4        33       132        18 com.fasterxml.jackson.core.type
 15        28       384      2068        99 com.fasterxml.jackson.core.util
 16         2         8        89         0 com.fasterxml.jackson.failing
 17         1         8        74         0 com.fasterxml.jackson.failing.async
 18         9        53       609         7 perf
    --------- --------- --------- ---------
          236      3120     32148       941 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    18.00    236.00   3120.00  32148.00    941.00 | Project
              13.11    173.33   1786.00     52.28 | Package
                        13.22    136.22      3.99 | Class
                                  10.30      0.30 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   33         5       0        1 perf.ManualSmallTokenRead
  2   33         5       0        1 perf.ManualIntRead
  3   54         6       0        0 perf.ParserTestBase
  4  172         9       4        0 perf.MediaItem
  5  128         6       0        0 perf.ManualCharAccessTest
  6   19         4       0        1 perf.EnumByBytesLookup
  7   67        10       0        3 perf.Trie
  8   47         5       0        0 perf.ManualReadPerfWithMedia
  9   36         3       1        1 perf.ConcurrencyReadTest
 10   41         2       0        0 com.fasterxml.jackson.core.sym.TestSymbolsWithMediaItem
 11   68         3       1        2 com.fasterxml.jackson.core.sym.TestHashCollisionChars
 12   44         7       0        1 com.fasterxml.jackson.core.sym.SymbolsViaParserTest
 13   53         7       1        2 com.fasterxml.jackson.core.sym.SymbolTableMergingTest
 14  213        17       0        1 com.fasterxml.jackson.core.sym.TestSymbolTables
 15   75         5       0        2 com.fasterxml.jackson.core.sym.TestByteBasedSymbols
 16  313        31       1        2 com.fasterxml.jackson.core.BaseTest
 17   14         5       0        1 com.fasterxml.jackson.core.testsupport.ByteOutputStreamForTesting
 18   11         4       0        0 com.fasterxml.jackson.core.testsupport.ThrottledInputStream
 19   31         2       0        1 com.fasterxml.jackson.core.testsupport.AsyncReaderWrapperForByteArray
 20   14         5       0        0 com.fasterxml.jackson.core.testsupport.StringWriterForTesting
 21   41        18       0        0 com.fasterxml.jackson.core.testsupport.MockDataInput
 22   47        19       0        0 com.fasterxml.jackson.core.testsupport.AsyncReaderWrapper
 23  177         4       0        0 com.fasterxml.jackson.core.PointerFromContextTest
 24  151         4       4        2 com.fasterxml.jackson.core.util.TestDelegates
 25   35         3       0        1 com.fasterxml.jackson.core.util.SeparatorsTest
 26   59         6       0        1 com.fasterxml.jackson.core.util.TestNumberPrinting
 27  126        16       0        1 com.fasterxml.jackson.core.util.TestTextBuffer
 28   15         2       0        1 com.fasterxml.jackson.core.util.DefaultIndenterTest
 29   89         8       0        0 com.fasterxml.jackson.core.util.TestDefaultPrettyPrinter
 30   16         4       0        1 com.fasterxml.jackson.core.util.VersionUtilTest
 31   13         5       0        0 com.fasterxml.jackson.core.util.TestVersionUtil
 32   32         2       0        1 com.fasterxml.jackson.core.util.TestSerializedString
