Nr.   Classes Functions      NCSS  Javadocs Package
  1        47      1295      6904      1001 com.fasterxml.jackson.databind
  2         1         2        29         1 com.fasterxml.jackson.databind.access
  3         3         1       112         1 com.fasterxml.jackson.databind.annotation
  4         1         2        74         0 com.fasterxml.jackson.databind.big
  5        17       242      1065       132 com.fasterxml.jackson.databind.cfg
  6         6        25       465         6 com.fasterxml.jackson.databind.contextual
  7        12        82       936         8 com.fasterxml.jackson.databind.convert
  8        54       646      6873       334 com.fasterxml.jackson.databind.deser
  9         9        29       666         1 com.fasterxml.jackson.databind.deser.builder
 10        33       131      2393        21 com.fasterxml.jackson.databind.deser.creators
 11         1         1        18         0 com.fasterxml.jackson.databind.deser.dos
 12        13        66       933         9 com.fasterxml.jackson.databind.deser.filter
 13        29       283      2340        94 com.fasterxml.jackson.databind.deser.impl
 14         2         6        97         0 com.fasterxml.jackson.databind.deser.inject
 15        19       264      3135        28 com.fasterxml.jackson.databind.deser.jdk
 16         8        38       542         1 com.fasterxml.jackson.databind.deser.merge
 17        40       458      5595       173 com.fasterxml.jackson.databind.deser.std
 18        17        80       674        32 com.fasterxml.jackson.databind.exc
 19        13        49       558        14 com.fasterxml.jackson.databind.ext
 20         1         1        21         0 com.fasterxml.jackson.databind.filter
 21         6        19       287         2 com.fasterxml.jackson.databind.format
 22         6        25       370         5 com.fasterxml.jackson.databind.interop
 23        59       835      6215       206 com.fasterxml.jackson.databind.introspect
 24        15        28       162        35 com.fasterxml.jackson.databind.jsonFormatVisitors
 25         5        21       386        13 com.fasterxml.jackson.databind.jsonschema
 26        45       217      2630        98 com.fasterxml.jackson.databind.jsontype
 27         8        44       688        10 com.fasterxml.jackson.databind.jsontype.deftyping
 28         8        37       880         7 com.fasterxml.jackson.databind.jsontype.ext
 29        18       144       981        43 com.fasterxml.jackson.databind.jsontype.impl
 30         8        18       265         3 com.fasterxml.jackson.databind.misc
 31        11        27       554         6 com.fasterxml.jackson.databind.mixins
 32        14       105      1135        44 com.fasterxml.jackson.databind.module
 33        45       660      3836       181 com.fasterxml.jackson.databind.node
 34        16        54      1245         7 com.fasterxml.jackson.databind.objectid
 35         5        25       434         1 com.fasterxml.jackson.databind.seq
