Nr.   Classes Functions      NCSS  Javadocs Package
  1        40       245      1253       208 org.apache.commons.jxpath
  2         2         5        78         5 org.apache.commons.jxpath.functions
  3        12       176      1029       119 org.apache.commons.jxpath.ri
  4        18       139      1204        64 org.apache.commons.jxpath.ri.axes
  5        43       320      2155       184 org.apache.commons.jxpath.ri.compiler
  6        18       303      1496       103 org.apache.commons.jxpath.ri.model
  7        20       201      1097        83 org.apache.commons.jxpath.ri.model.beans
  8         3        28       152         6 org.apache.commons.jxpath.ri.model.container
  9         9       108       856        43 org.apache.commons.jxpath.ri.model.dom
 10         7        41       267        26 org.apache.commons.jxpath.ri.model.dynabeans
 11         7        58       389        29 org.apache.commons.jxpath.ri.model.dynamic
 12         9       102       866        38 org.apache.commons.jxpath.ri.model.jdom
 13         7       293      4723        15 org.apache.commons.jxpath.ri.parser
 14        12        41       354        28 org.apache.commons.jxpath.servlet
 15        12        71       982        74 org.apache.commons.jxpath.util
 16         5        24       137        26 org.apache.commons.jxpath.xml
    --------- --------- --------- ---------
          224      2155     17038      1051 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    16.00    224.00   2155.00  17038.00   1051.00 | Project
              14.00    134.69   1064.88     65.69 | Package
                         9.62     76.06      4.69 | Class
                                   7.91      0.49 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   96         6       0        1 org.apache.commons.jxpath.servlet.JXPathServletContextTest
  2   48         9       0        9 org.apache.commons.jxpath.BasicNodeSetTest
  3   66        12       3        1 org.apache.commons.jxpath.util.BasicTypeConverterTest
  4   83         9       1       11 org.apache.commons.jxpath.util.ClassLoaderUtilTest
  5    3         1       0        1 org.apache.commons.jxpath.util.ClassLoadingExampleClass
  6   23        10       0        4 org.apache.commons.jxpath.NestedTestBean
  7   67        18       0        4 org.apache.commons.jxpath.TestBean
  8  180        30       0        2 org.apache.commons.jxpath.JXPathTestCase
  9  146        31       0        2 org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest
 10  163        13       0        1 org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest
 11   15         2       0        1 org.apache.commons.jxpath.ri.axes.RecursiveAxesTest
 12   20         6       0        1 org.apache.commons.jxpath.ri.axes.TestBeanWithNode
 13   18         7       0        1 org.apache.commons.jxpath.ri.axes.RecursiveBean
 14   37         5       2        1 org.apache.commons.jxpath.ri.ExceptionHandlerTest
 15   30         1       1        1 org.apache.commons.jxpath.ri.StressTest
 16   30         3       0        0 org.apache.commons.jxpath.ri.model.JXPath151Test
 17  189        41       0        3 org.apache.commons.jxpath.ri.model.MixedModelTest
 18   30        13       0        1 org.apache.commons.jxpath.ri.model.XMLPreserveSpaceTest
 19   27         2       0        2 org.apache.commons.jxpath.ri.model.dynamic.TestDynamicPropertyFactory
 20  112        19       0        3 org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest
 21  209        39       1        5 org.apache.commons.jxpath.ri.model.XMLModelTestCase
 22    7         3       0        1 org.apache.commons.jxpath.ri.model.ExceptionPropertyTestBean
 23  293        56       0        5 org.apache.commons.jxpath.ri.model.BeanModelTestCase
 24   30        13       0        1 org.apache.commons.jxpath.ri.model.XMLSpaceTest
 25   19         6       1        2 org.apache.commons.jxpath.ri.model.EmptyCollectionTest
 26   23         2       0        3 org.apache.commons.jxpath.ri.model.dynabeans.TestDynaBeanFactory
 27    3         2       0        1 org.apache.commons.jxpath.ri.model.dynabeans.LazyDynaBeanTest
 28    5         2       0        1 org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanModelTest
 29   61         4       3        1 org.apache.commons.jxpath.ri.model.container.ContainerModelTest
 30    8         3       0        1 org.apache.commons.jxpath.ri.model.beans.BeanModelTest
 31    5         1       0        1 org.apache.commons.jxpath.ri.model.beans.TestIndexedPropertyBean
 32   19         2       0        3 org.apache.commons.jxpath.ri.model.beans.TestBeanFactory
 33   13         2       1        1 org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest
 34   18         7       0        1 org.apache.commons.jxpath.ri.model.XMLUpperCaseElementsTest
 35   17         6       0        1 org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest
 36   47         7       0        1 org.apache.commons.jxpath.ri.model.dom.DOMModelTest
 37   28         3       0        2 org.apache.commons.jxpath.ri.model.dom.TestDOMFactory
 38   32         2       0        2 org.apache.commons.jxpath.ri.model.TestMixedModelFactory
 39   29         3       0        2 org.apache.commons.jxpath.ri.model.jdom.TestJDOMFactory
 40   43         8       0        1 org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest
 41   14         3       0        1 org.apache.commons.jxpath.ri.model.EmbeddedColonMapKeysTest
 42   25         9       0        1 org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest
 43    3         1       0        1 org.apache.commons.jxpath.ri.compiler.TestFunctions2
 44   15         2       0        1 org.apache.commons.jxpath.ri.compiler.ContextDependencyTest
 45   83        21       0        1 org.apache.commons.jxpath.ri.compiler.VariableTest
 46   62        22       0        3 org.apache.commons.jxpath.ri.compiler.TestFunctions
 47   91         5       0        1 org.apache.commons.jxpath.ri.compiler.CoreOperationTest
 48  113         6       3        1 org.apache.commons.jxpath.ri.compiler.CoreFunctionTest
 49    7         1       0        0 org.apache.commons.jxpath.ri.compiler.JXPath149Test
 50   28         2       0        3 org.apache.commons.jxpath.ri.compiler.VariableFactory
 51  132        19       1        1 org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest
 52   52        10       0        1 org.apache.commons.jxpath.TestMixedModelBean
 53   14         4       0        1 org.apache.commons.jxpath.TestNull
 54  139        47       0       48 org.apache.commons.jxpath.JXPathContext
 55    6         2       0        3 org.apache.commons.jxpath.JXPathTypeConversionException
 56   27         3       0        1 org.apache.commons.jxpath.servlet.ServletRequestHandler
 57   12         3       0        1 org.apache.commons.jxpath.servlet.PageScopeContextHandler
 58   14         4       0        2 org.apache.commons.jxpath.servlet.ServletContextHandler
 59   10         4       0        5 org.apache.commons.jxpath.servlet.PageScopeContext
 60   24         3       0        1 org.apache.commons.jxpath.servlet.HttpSessionHandler
 61   17         5       0        2 org.apache.commons.jxpath.servlet.KeywordVariables
 62   20         3       0        2 org.apache.commons.jxpath.servlet.PageContextHandler
 63   10         3       0        4 org.apache.commons.jxpath.servlet.HttpSessionAndServletContext
 64   51         4       0        5 org.apache.commons.jxpath.servlet.JXPathServletContexts
 65    9         3       0        3 org.apache.commons.jxpath.servlet.ServletRequestAndContext
 66    6         0       0        1 org.apache.commons.jxpath.servlet.Constants
 67    7         6       0        7 org.apache.commons.jxpath.Pointer
 68    3         2       0        3 org.apache.commons.jxpath.Functions
 69    5         4       0        5 org.apache.commons.jxpath.ExpressionContext
 70    2         1       0        2 org.apache.commons.jxpath.ExceptionHandler
 71    2         1       0        2 org.apache.commons.jxpath.IdentityManager
 72   71         9       1        7 org.apache.commons.jxpath.JXPathBasicBeanInfo
