Nr.   Classes Functions      NCSS  Javadocs Package
  1        60      1770     18003      1010 org.apache.commons.lang3
  2        25       669      4988       420 org.apache.commons.lang3.builder
  3        24       212      1485       271 org.apache.commons.lang3.concurrent
  4         4        35       344        26 org.apache.commons.lang3.event
  5        11       128       877        83 org.apache.commons.lang3.exception
  6         6       211      2650       114 org.apache.commons.lang3.math
  7        17       277      1135       179 org.apache.commons.lang3.mutable
  8        12       180      2214        96 org.apache.commons.lang3.reflect
  9        12         4        63        12 org.apache.commons.lang3.reflect.testbed
 10        20       604      5770       439 org.apache.commons.lang3.text
 11        18        67       484        66 org.apache.commons.lang3.text.translate
 12        21       443      4553       360 org.apache.commons.lang3.time
 13        12        93       525        58 org.apache.commons.lang3.tuple
    --------- --------- --------- ---------
          242      4693     43091      3134 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    13.00    242.00   4693.00  43091.00   3134.00 | Project
              18.62    361.00   3314.69    241.08 | Package
                        19.39    178.06     12.95 | Class
                                   9.18      0.67 | Function

Nr. NCSS Functions Classes Javadocs Class
  1  103        18       0        1 org.apache.commons.lang3.mutable.MutableDoubleTest
  2   97        14       0        1 org.apache.commons.lang3.mutable.MutableShortTest
  3   65         9       0        1 org.apache.commons.lang3.mutable.MutableBooleanTest
  4  100        17       0        1 org.apache.commons.lang3.mutable.MutableLongTest
  5  103        18       0        1 org.apache.commons.lang3.mutable.MutableFloatTest
  6   96        17       0        1 org.apache.commons.lang3.mutable.MutableByteTest
  7   98        18       0        2 org.apache.commons.lang3.mutable.MutableIntTest
  8   46         5       0        1 org.apache.commons.lang3.mutable.MutableObjectTest
  9  228        22       0       21 org.apache.commons.lang3.LocaleUtilsTest
 10  329        14       0        1 org.apache.commons.lang3.CharSetTest
 11   58         7       0        1 org.apache.commons.lang3.CharUtilsPerfRun
 12  647        44       0       43 org.apache.commons.lang3.ConversionTest
 13  300        11       0        5 org.apache.commons.lang3.SystemUtilsTest
 14  122        11       2        1 org.apache.commons.lang3.AnnotationUtilsTest
 15   94         6       0        5 org.apache.commons.lang3.StringUtilsStartsEndsWithTest
 16  779        55      26        1 org.apache.commons.lang3.ClassUtilsTest
 17   62        10       0        1 org.apache.commons.lang3.tuple.TripleTest
 18   56         9       0        1 org.apache.commons.lang3.tuple.PairTest
 19   45         6       0        1 org.apache.commons.lang3.tuple.ImmutablePairTest
