Nr.   Classes Functions      NCSS  Javadocs Package
  1         1         4       219         1 .
  2         6        47       352        57 org.apache.commons.math3
  3        20        66       569        92 org.apache.commons.math3.analysis
  4        18       231      2374       164 org.apache.commons.math3.analysis.differentiation
  5        53       204      1455       195 org.apache.commons.math3.analysis.function
  6        12        64       714        64 org.apache.commons.math3.analysis.integration
  7        13        37       429        38 org.apache.commons.math3.analysis.integration.gauss
  8        33       149      2619       140 org.apache.commons.math3.analysis.interpolation
  9        10       101      1088        93 org.apache.commons.math3.analysis.polynomials
 10        42       207      2020       211 org.apache.commons.math3.analysis.solvers
 11        14       307      1967       128 org.apache.commons.math3.complex
 12        11       225      3320       168 org.apache.commons.math3.dfp
 13        54       675      3780       600 org.apache.commons.math3.distribution
 14        35        93       443       119 org.apache.commons.math3.exception
 15         9        43       288        36 org.apache.commons.math3.exception.util
 16         6        37       273        37 org.apache.commons.math3.filter
 17         9        53       725        59 org.apache.commons.math3.fitting
 18        16       261      2150       167 org.apache.commons.math3.fraction
 19        47       188      1554       137 org.apache.commons.math3.genetics
 20         3        38       111        41 org.apache.commons.math3.geometry
 21         9        90       422        90 org.apache.commons.math3.geometry.euclidean.oned
 22        26       303      2533       219 org.apache.commons.math3.geometry.euclidean.threed
 23        12       159      1273       153 org.apache.commons.math3.geometry.euclidean.twod
 24        13       106       706       149 org.apache.commons.math3.geometry.partitioning
 25         3        29       560        39 org.apache.commons.math3.geometry.partitioning.utilities
 26       109      1875     17366      1509 org.apache.commons.math3.linear
 27        34       208      1709       230 org.apache.commons.math3.ode
 28         5        25       326        33 org.apache.commons.math3.ode.events
 29        47       251      4076       161 org.apache.commons.math3.ode.nonstiff
 30        17       135       835        96 org.apache.commons.math3.ode.sampling
 31        20        74       446        88 org.apache.commons.math3.optim
 32        12       115      1102        81 org.apache.commons.math3.optim.linear
 33        12        39       500        53 org.apache.commons.math3.optim.nonlinear.scalar
 34         4        27       335        20 org.apache.commons.math3.optim.nonlinear.scalar.gradient
 35        12       176      3357       136 org.apache.commons.math3.optim.nonlinear.scalar.noderiv
 36         8        29       216        35 org.apache.commons.math3.optim.nonlinear.vector
 37        17       145      2284        82 org.apache.commons.math3.optim.nonlinear.vector.jacobian
 38        12        65       739        55 org.apache.commons.math3.optim.univariate
 39        38        84       696       105 org.apache.commons.math3.optimization
 40        19       236      3837       213 org.apache.commons.math3.optimization.direct
 41         9        56       758        65 org.apache.commons.math3.optimization.fitting
 42        24       187      2369       116 org.apache.commons.math3.optimization.general
 43        11       115       980        81 org.apache.commons.math3.optimization.linear
 44        12        65       697        57 org.apache.commons.math3.optimization.univariate
 45        51       461      3272       380 org.apache.commons.math3.random
 46         6        99       841        38 org.apache.commons.math3.special
 47         5        95       823        82 org.apache.commons.math3.stat
 48        10        57       565        47 org.apache.commons.math3.stat.clustering
 49         9        83       554        78 org.apache.commons.math3.stat.correlation
 50         3         9        91         3 org.apache.commons.math3.stat.data
 51        29       383      2446       349 org.apache.commons.math3.stat.descriptive
 52        27       195      1148       199 org.apache.commons.math3.stat.descriptive.moment
 53         8        58       408        53 org.apache.commons.math3.stat.descriptive.rank
 54         8        62       313        59 org.apache.commons.math3.stat.descriptive.summary
 55        14       162      1429       133 org.apache.commons.math3.stat.inference
 56         5        26       341        24 org.apache.commons.math3.stat.ranking
 57        14       208      2447       144 org.apache.commons.math3.stat.regression
 58        15       107      1260        79 org.apache.commons.math3.transform
 59        47       774      8665       559 org.apache.commons.math3.util
    --------- --------- --------- ---------
         1148     10403     99175      8640 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    59.00   1148.00  10403.00  99175.00   8640.00 | Project
              19.46    176.32   1680.93    146.44 | Package
                         9.06     86.39      7.53 | Class
                                   9.53      0.83 | Function

 Nr. NCSS Functions Classes Javadocs Class
   1  205        28       0       29 org.apache.commons.math3.TestUtils
   2  135        12       0        4 org.apache.commons.math3.fitting.PolynomialFitterTest
   3   86         7       0        0 org.apache.commons.math3.fitting.HarmonicFitterTest
   4   74         3       2        0 org.apache.commons.math3.fitting.CurveFitterTest
   5   71        10       0        9 org.apache.commons.math3.fitting.GaussianFitterTest
   6  166        18       2        1 org.apache.commons.math3.analysis.FunctionUtilsTest
   7   77         5       1        0 org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegratorTest
   8   60         3       0        4 org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest
   9   11         1       0        2 org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactoryTest
  10   15         2       0        0 org.apache.commons.math3.analysis.integration.gauss.DummyRuleFactory
  11    7         2       0        0 org.apache.commons.math3.analysis.integration.gauss.RuleBuilder
  12   16         2       0        1 org.apache.commons.math3.analysis.integration.gauss.LegendreTest
  13   14         3       0        3 org.apache.commons.math3.analysis.integration.gauss.LegendreParametricTest
  14   21         3       0        4 org.apache.commons.math3.analysis.integration.gauss.GaussianQuadratureAbstractTest
  15   14         3       0        3 org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest
  16   16         2       0        1 org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionTest
  17   60         3       0        4 org.apache.commons.math3.analysis.integration.RombergIntegratorTest
  18   77         5       1        0 org.apache.commons.math3.analysis.integration.LegendreGaussIntegratorTest
  19   60         3       0        4 org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest
  20   13         4       0        1 org.apache.commons.math3.analysis.MonitoredFunction
  21    5         2       0        1 org.apache.commons.math3.analysis.XMinus5Function
  22   12         2       0        3 org.apache.commons.math3.analysis.SumSincFunction
  23    5         2       0        1 org.apache.commons.math3.analysis.QuinticFunction
  24   70         4       0        5 org.apache.commons.math3.analysis.solvers.MullerSolver2Test
  25   36         2       0        3 org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolverTest
  26  108         6       1        1 org.apache.commons.math3.analysis.solvers.BrentSolverTest
  27   69         5       0        6 org.apache.commons.math3.analysis.solvers.LaguerreSolverTest
  28   70         4       0        5 org.apache.commons.math3.analysis.solvers.RiddersSolverTest
  29   40         3       0        1 org.apache.commons.math3.analysis.solvers.BisectionSolverTest
  30    5         2       0        3 org.apache.commons.math3.analysis.solvers.SecantSolverTest
  31   63        14       0        1 org.apache.commons.math3.analysis.solvers.UnivariateSolverUtilsTest
  32   43         2       1        3 org.apache.commons.math3.analysis.solvers.NewtonSolverTest
  33   71         4       0        5 org.apache.commons.math3.analysis.solvers.MullerSolverTest
  34   12         3       1        4 org.apache.commons.math3.analysis.solvers.RegulaFalsiSolverTest
  35    5         2       0        3 org.apache.commons.math3.analysis.solvers.PegasusSolverTest
  36   89        11       8        3 org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolverTest
  37  104        11       0        3 org.apache.commons.math3.analysis.solvers.BaseSecantSolverAbstractTest
  38    5         2       0        3 org.apache.commons.math3.analysis.solvers.IllinoisSolverTest
  39   72         8       0        1 org.apache.commons.math3.analysis.function.HarmonicOscillatorTest
  40   58         8       2        0 org.apache.commons.math3.analysis.function.SincTest
  41   80        14       0        1 org.apache.commons.math3.analysis.function.GaussianTest
  42   51         9       0        1 org.apache.commons.math3.analysis.function.StepFunctionTest
  43   99        14       0        1 org.apache.commons.math3.analysis.function.LogisticTest
  44   49         9       0        1 org.apache.commons.math3.analysis.function.SigmoidTest
  45   27         3       2        0 org.apache.commons.math3.analysis.function.SqrtTest
  46  116        15       0        1 org.apache.commons.math3.analysis.function.LogitTest
  47   33         2       1        1 org.apache.commons.math3.analysis.differentiation.GradientFunctionTest
  48  738        68       0        1 org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest
  49   34         1       1        1 org.apache.commons.math3.analysis.differentiation.JacobianFunctionTest
  50  261        10       0        1 org.apache.commons.math3.analysis.differentiation.DSCompilerTest
  51  192        16       9        1 org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest
  52   86         4       0        5 org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest
  53   45         3       0        2 org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunctionTest
  54  119        13       0        7 org.apache.commons.math3.analysis.polynomials.PolynomialFunctionTest
  55   97         5       0        6 org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest
  56  192        22       6        1 org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest
  57   81         3       2        4 org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatorTest
  58  117        21       0        1 org.apache.commons.math3.analysis.interpolation.LoessInterpolatorTest
  59   99         7       0        3 org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest
  60  246         3       9        4 org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest
  61   67         4       0        5 org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest
  62   67         4       0        5 org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest
  63   80         5       0        1 org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest
  64   65         5       0        2 org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest
  65  233         5      13        6 org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest
  66   63         2       2        3 org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatorTest
  67   85         3       2        4 org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest
  68  143        13       0        0 org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest
  69  104         3       2        4 org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest
  70    8         3       0        0 org.apache.commons.math3.util.BigRealFieldTest
  71  337        15       0        1 org.apache.commons.math3.util.PrecisionTest
  72  518        23      60        1 org.apache.commons.math3.util.FastMathTestPerformance
  73  182        23       0        3 org.apache.commons.math3.util.OpenIntToFieldTest
  74   66        10       1        2 org.apache.commons.math3.util.IncrementorTest
  75   88        14       0        0 org.apache.commons.math3.util.BigRealTest
  76  131         8       0        1 org.apache.commons.math3.util.FastMathStrictComparisonTest
  77   43         4       0        1 org.apache.commons.math3.util.DoubleArrayAbstractTest
  78   14         6       0        7 org.apache.commons.math3.util.TestBean
  79   32         7       0        7 org.apache.commons.math3.util.DefaultTransformerTest
  80   66         5       0        1 org.apache.commons.math3.util.MultidimensionalCounterTest
  81   47         8       0        8 org.apache.commons.math3.util.TransformerMapTest
  82  348        19       1        1 org.apache.commons.math3.util.ResizableDoubleArrayTest
  83  407        40       0        1 org.apache.commons.math3.util.MathArraysTest
  84   41         4       1        2 org.apache.commons.math3.util.PairTest
  85    9         1       1        1 org.apache.commons.math3.util.ContinuedFractionTest
  86  157        19       0        2 org.apache.commons.math3.util.MathUtilsTest
  87  450        29       0        5 org.apache.commons.math3.util.ArithmeticUtilsTest
  88  177        23       0        4 org.apache.commons.math3.util.OpenIntToDoubleHashMapTest
  89  563        54       0        2 org.apache.commons.math3.util.FastMathTest
  90  314         8       0        0 org.apache.commons.math3.util.Decimal64Test
  91  258        22       0        0 org.apache.commons.math3.complex.QuaternionTest
  92   50         6       0        1 org.apache.commons.math3.complex.ComplexUtilsTest
  93    5         2       0        0 org.apache.commons.math3.complex.FrenchComplexFormatTest
  94  761       123       1       11 org.apache.commons.math3.complex.ComplexTest
  95   38         7       0        1 org.apache.commons.math3.complex.RootsOfUnityTest
  96    8         3       0        0 org.apache.commons.math3.complex.ComplexFieldTest
  97  177        34       0        0 org.apache.commons.math3.complex.ComplexFormatAbstractTest
  98    5         2       0        0 org.apache.commons.math3.complex.ComplexFormatTest
  99   17         3       0        0 org.apache.commons.math3.optimization.SimpleValueCheckerTest
 100  135        12       0        4 org.apache.commons.math3.optimization.fitting.PolynomialFitterTest
 101   86         7       0        0 org.apache.commons.math3.optimization.fitting.HarmonicFitterTest
 102   74         3       2        0 org.apache.commons.math3.optimization.fitting.CurveFitterTest
 103   71        10       0        9 org.apache.commons.math3.optimization.fitting.GaussianFitterTest
 104  140        10       6        0 org.apache.commons.math3.optimization.direct.SimplexOptimizerNelderMeadTest
 105  341        27      16        3 org.apache.commons.math3.optimization.direct.CMAESOptimizerTest
 106  270        23      14        3 org.apache.commons.math3.optimization.direct.BOBYQAOptimizerTest
 107   67         4       1        0 org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapterTest
 108   71         5       1        0 org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapterTest
 109   89         6       4        4 org.apache.commons.math3.optimization.direct.PowellOptimizerTest
 110  114         7       4        0 org.apache.commons.math3.optimization.direct.SimplexOptimizerMultiDirectionalTest
 111  117        17       1       18 org.apache.commons.math3.optimization.general.StatisticalReferenceDataset
 112  423        19      19        1 org.apache.commons.math3.optimization.general.MinpackTest
 113   35         7       0        1 org.apache.commons.math3.optimization.general.CircleScalar
 114   58         9       1        6 org.apache.commons.math3.optimization.general.StraightLineProblem
 115   55         6       0        2 org.apache.commons.math3.optimization.general.CircleProblem
 116   50         7       4        3 org.apache.commons.math3.optimization.general.StatisticalReferenceDatasetFactory
 117   50         4       1        0 org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTest
 118   21         3       0        4 org.apache.commons.math3.optimization.general.RandomStraightLinePointGenerator
 119   96         3       0        4 org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTestValidation
 120    8         2       0        2 org.apache.commons.math3.optimization.general.DummyOptimizer
