project_id,bug_id,date_fixed
Chart,1,2010-02-09 13:23:49 -0800 
Chart,2,2009-09-15 22:49:25 -0700 
Chart,3,2009-08-31 13:54:18 -0700 
Chart,4,2009-06-29 11:18:43 -0700 
Chart,5,2008-11-24 01:19:36 -0800 
Chart,6,2008-06-17 01:44:13 -0700 
Chart,7,2008-06-10 02:22:11 -0700 
Chart,8,2008-06-10 02:19:11 -0700 
Chart,9,2008-06-10 02:08:12 -0700 
Chart,10,2008-06-10 00:32:29 -0700 
Cli,40,2018-02-26 10:23:40 -0700
Cli,39,2017-06-14 09:56:49 +0200
Cli,38,2016-09-08 05:36:59 +0000
Cli,37,2016-09-07 20:19:32 +0000
Cli,36,2016-06-21 20:27:06 +0000
Cli,35,2015-06-09 05:18:22 +0000
Cli,34,2011-04-12 15:55:03 +0000
Cli,33,2010-07-21 16:40:40 +0000
Cli,32,2010-07-07 13:48:12 +0000
Cli,31,2010-06-19 22:06:00 +0000
Closure,107,2013-11-25 21:36:40 -0500
Closure,108,2013-11-25 21:36:03 -0500
Closure,176,2013-11-19 01:13:39 -0500
Closure,109,2013-11-08 00:06:42 -0500
Closure,175,2013-11-04 11:20:11 -0800
Closure,110,2013-10-24 10:53:13 -0400
Closure,111,2013-10-23 00:47:12 -0400
Closure,112,2013-10-08 16:18:27 -0700
Closure,113,2013-10-04 16:50:10 -0700
Closure,114,2013-10-03 18:21:15 -0700
Codec,18,2017-03-26 21:43:36 +0000
Codec,17,2017-03-26 17:22:08 +0000
Codec,16,2015-06-04 14:01:15 +0000
Codec,15,2015-03-22 18:48:52 +0000
Codec,14,2014-07-05 19:58:38 +0000
Codec,13,2014-04-10 13:51:06 +0000
Codec,12,2012-03-19 18:33:42 +0000
Codec,11,2012-03-07 15:34:01 +0000
Codec,10,2011-03-01 17:56:14 +0000
Codec,9,2011-01-26 23:40:25 +0000
Collections,28,2016-08-04 17:32:17 +0000
Collections,27,2015-11-14 20:24:42 +0000
Collections,26,2015-09-28 08:53:44 +0000
Collections,25,2015-06-04 20:36:25 +0000
Compress,47,2018-01-14 12:12:50 +0100
Compress,46,2017-07-04 08:51:32 +0200
Compress,45,2017-06-17 21:47:10 +0200
Compress,44,2017-06-17 20:29:37 +0200
Compress,43,2017-05-22 18:11:06 +0200
Compress,42,2017-01-15 22:07:19 +0100
Compress,41,2016-12-09 23:01:42 +0100
Compress,40,2016-07-01 21:37:24 +0200
Compress,39,2016-06-07 18:23:48 +0200
Compress,38,2016-05-20 18:42:10 +0200
Csv,16,2018-05-18 14:24:50 -0600
Csv,15,2017-12-11 11:16:01 -0700
Csv,14,2016-07-31 00:21:35 -0700
Csv,13,2016-01-19 02:34:19 +0000
Csv,12,2014-08-27 14:12:40 +0000
Csv,11,2014-07-11 18:42:48 +0000
Csv,10,2014-06-09 22:21:22 +0000
Csv,9,2014-05-15 16:26:26 +0000
Csv,8,2014-05-07 17:27:31 +0000
Csv,7,2014-05-04 16:22:34 +0000
Gson,18,2017-09-21 17:50:41 -0700
Gson,17,2017-09-17 23:49:13 -0700
Gson,16,2017-07-31 10:50:29 -0700
Gson,15,2017-05-31 09:50:44 -0700
Gson,14,2017-05-30 17:47:04 -0700
Gson,13,2017-04-19 14:26:36 -0700
Gson,12,2017-02-15 18:41:39 -0800
Gson,11,2016-11-25 23:40:14 -0800
Gson,10,2016-05-17 17:26:52 -0400
Gson,9,2016-04-22 14:54:25 -1000
JacksonCore,26,2019-04-05 20:34:58 -0700
JacksonCore,25,2019-01-16 23:06:00 -0800
JacksonCore,24,2019-01-16 20:42:31 -0800
JacksonCore,23,2018-12-11 22:06:44 -0800
JacksonCore,22,2017-06-04 05:33:06 +0200
JacksonCore,21,2017-05-23 16:08:31 -0700
JacksonCore,20,2016-09-01 15:32:46 -0700
JacksonCore,19,2016-08-31 21:09:22 -0700
JacksonCore,18,2016-08-24 22:53:20 -0700
JacksonCore,17,2016-08-18 23:09:52 -0700
