target_class,project_id,bug_id
org.apache.commons.cli.DefaultParser,Cli,38
com.google.javascript.jscomp.parsing.JsDocInfoParser,Closure,109
org.apache.commons.codec.language.DoubleMetaphone,Codec,13
org.jsoup.parser.Tag,Jsoup,87
com.fasterxml.jackson.databind.SerializerProvider,JacksonDatabind,103
com.fasterxml.jackson.databind.ser.std.NumberSerializer,JacksonDatabind,109
org.apache.commons.codec.binary.StringUtils,Codec,18
com.fasterxml.jackson.databind.JsonMappingException,JacksonDatabind,103
com.google.javascript.jscomp.CommandLineRunner,Closure,107
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,JacksonCore,19
org.apache.commons.cli.HelpFormatter,Cli,32
com.google.javascript.jscomp.FunctionInjector,Closure,175
org.apache.commons.cli.TypeHandler,Cli,39
org.apache.commons.math3.fraction.Fraction,Math,1
org.joda.time.MutableDateTime,Time,3
com.fasterxml.jackson.databind.util.ClassUtil,JacksonDatabind,103
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,Compress,47
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,JacksonCore,19
com.fasterxml.jackson.databind.DatabindContext,JacksonDatabind,103
org.jsoup.parser.CharacterReader,Jsoup,91
org.apache.commons.csv.CSVParser,Csv,16
org.apache.commons.math3.optim.BaseOptimizer,Math,6
com.google.gson.internal.$Gson$Types,Gson,16
org.apache.commons.csv.CSVParser,Csv,7
com.fasterxml.jackson.databind.ser.PropertyBuilder,JacksonDatabind,103
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,JxPath,22
org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator,JxPath,17
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,Math,6
com.google.gson.DefaultDateTypeAdapter,Gson,17
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,Compress,42
org.jfree.data.time.TimeSeries,Chart,9
org.jsoup.nodes.Attribute,Jsoup,85
org.apache.commons.jxpath.ri.NamespaceResolver,JxPath,13
org.apache.commons.codec.binary.Base64,Codec,9
org.apache.commons.math3.distribution.HypergeometricDistribution,Math,2
org.mockito.internal.util.reflection.GenericMetadataSupport,Mockito,7
org.apache.commons.math3.util.MathArrays,Math,3
com.fasterxml.jackson.core.json.UTF8JsonGenerator,JacksonCore,17
org.apache.commons.collections4.keyvalue.MultiKey,Collections,26
com.google.gson.internal.$Gson$Types,Gson,18
org.jsoup.parser.HtmlTreeBuilder,Jsoup,92
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,JacksonXml,5
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,Compress,43
com.google.gson.internal.bind.JsonTreeWriter,Gson,9
org.joda.time.Period,Time,5
