target_class,project_id,bug_id
org.apache.commons.math3.distribution.HypergeometricDistribution,Math,2
org.apache.commons.math3.util.MathArrays,Math,3
org.apache.commons.math3.geometry.euclidean.threed.SubLine,Math,4
org.apache.commons.math3.geometry.euclidean.twod.SubLine,Math,4
org.apache.commons.math3.complex.Complex,Math,5
org.apache.commons.math3.optim.BaseOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,Math,6
org.apache.commons.math3.ode.AbstractIntegrator,Math,7
org.apache.commons.math3.distribution.DiscreteDistribution,Math,8
org.apache.commons.math3.geometry.euclidean.threed.Line,Math,9
org.apache.commons.math3.analysis.differentiation.DSCompiler,Math,10
org.mockito.internal.invocation.InvocationMatcher,Mockito,3
org.mockito.internal.invocation.InvocationMatcher,Mockito,1
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,Mockito,18
org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.PropertyAndSetterInjection,Mockito,19
org.mockito.internal.util.Timer,Mockito,2
org.mockito.exceptions.Reporter,Mockito,4
