target_class,project_id,bug_id
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,Mockito,18
org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter,Mockito,19
org.mockito.internal.configuration.injection.PropertyAndSetterInjection,Mockito,19
org.mockito.internal.util.Timer,Mockito,2
org.mockito.exceptions.Reporter,Mockito,4
org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker,Mockito,20
org.mockito.internal.verification.VerificationOverTimeImpl,Mockito,5
org.mockito.Matchers,Mockito,6
org.mockito.internal.util.reflection.GenericMetadataSupport,Mockito,7
org.joda.time.field.UnsupportedDurationField,Time,1
org.joda.time.Partial,Time,1
org.joda.time.field.UnsupportedDurationField,Time,2
org.joda.time.Partial,Time,2
org.joda.time.MutableDateTime,Time,3
org.joda.time.Partial,Time,4
org.joda.time.Period,Time,5
org.joda.time.chrono.GJChronology,Time,6
org.joda.time.format.DateTimeFormatter,Time,7
org.joda.time.DateTimeZone,Time,8
org.joda.time.DateTimeZone,Time,9
org.joda.time.base.BaseSingleFieldPeriod,Time,10
