target_class,project_id,bug_id
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,Chart,1
org.jfree.data.general.DatasetUtilities,Chart,2
org.jfree.data.time.TimeSeries,Chart,3
org.jfree.chart.plot.XYPlot,Chart,4
org.jfree.data.xy.XYSeries,Chart,5
org.jfree.chart.util.ShapeList,Chart,6
org.jfree.data.time.TimePeriodValues,Chart,7
org.jfree.data.time.Week,Chart,8
org.jfree.data.time.TimeSeries,Chart,9
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,Chart,10
org.apache.commons.cli.TypeHandler,Cli,40
org.apache.commons.cli.TypeHandler,Cli,39
org.apache.commons.cli.DefaultParser,Cli,38
org.apache.commons.cli.DefaultParser,Cli,37
org.apache.commons.cli.OptionGroup,Cli,36
org.apache.commons.cli.Options,Cli,36
org.apache.commons.cli.Options,Cli,35
org.apache.commons.cli.Option,Cli,34
org.apache.commons.cli.OptionBuilder,Cli,34
org.apache.commons.cli.HelpFormatter,Cli,33
org.apache.commons.cli.HelpFormatter,Cli,32
org.apache.commons.cli.HelpFormatter,Cli,31
org.apache.commons.cli.Option,Cli,31
org.apache.commons.cli.OptionBuilder,Cli,31
com.google.javascript.jscomp.CommandLineRunner,Closure,107
com.google.javascript.jscomp.ScopedAliases,Closure,108
com.google.javascript.jscomp.TypeInference,Closure,176
com.google.javascript.jscomp.parsing.JsDocInfoParser,Closure,109
com.google.javascript.jscomp.FunctionInjector,Closure,175
com.google.javascript.jscomp.ScopedAliases,Closure,110
com.google.javascript.rhino.Node,Closure,110
com.google.javascript.jscomp.type.ClosureReverseAbstractInterpreter,Closure,111
com.google.javascript.jscomp.TypeInference,Closure,112
com.google.javascript.jscomp.ProcessClosurePrimitives,Closure,113
com.google.javascript.jscomp.NameAnalyzer,Closure,114
org.apache.commons.codec.binary.StringUtils,Codec,18
org.apache.commons.codec.binary.StringUtils,Codec,17
org.apache.commons.codec.binary.Base32,Codec,16
org.apache.commons.codec.language.Soundex,Codec,15
org.apache.commons.codec.language.bm.Lang,Codec,14
org.apache.commons.codec.language.bm.PhoneticEngine,Codec,14
org.apache.commons.codec.language.bm.Rule,Codec,14
org.apache.commons.codec.binary.CharSequenceUtils,Codec,13
org.apache.commons.codec.binary.StringUtils,Codec,13
org.apache.commons.codec.language.DoubleMetaphone,Codec,13
org.apache.commons.codec.binary.BaseNCodecInputStream,Codec,12
org.apache.commons.codec.net.QuotedPrintableCodec,Codec,11
org.apache.commons.codec.language.Caverphone,Codec,10
org.apache.commons.codec.binary.Base64,Codec,9
org.apache.commons.collections4.trie.AbstractPatriciaTrie,Collections,28
